Line Item,Quantity,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,VPN,Description,Value
1,6,"C1, C4, C5, C10, C11, C12",KEMET,C317C130J5G5TA7301,,399-C317C130J5G5TA7301TR-ND,CAP CER 13PF 50V C0G/NP0 RADIAL,13p
2,2,"C2, C3",Vishay,K104K15X7RF53H5,Tayda,A-5459,0.1UF 50V MULTILAYER MONOLITHIC CERAMIC CAPACITOR X7R VISHAY BEST PERFORMANCE,10u
3,4,"C6, C7, C8, C9",TDK,FG18X7R1H104KNT06Ê,Mouser,810-FG18X7R1H104KNT06,Multilayer Ceramic Capacitors MLCC - Leaded RAD 50V 0.1uF X7R 10% LS:2.5mm,100n
14,3,"R1, R4, R9",KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F,Metal Film Resistors - Through Hole 100Kohms 1% 100PPM,100K
15,7,"R2, R5, R7, R10, R11, R14, R16",Royal OHM,MF0W4FF1001A50,Tayda,A-2200,1K OHM 1/4W 1% METAL FILM RESISTOR ROYAL OHM TOP QUALITY,1K
16,3,"R3, R8, R13",Royal OHM,MF0W4FF1500A50,Tayda,A-2199,150 OHM 1/4W 1% METAL FILM RESISTOR ROYAL OHM TOP QUALITY,150R
17,3,"R6, R12, R15",KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F,Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%,499R
4,2,"D1, D2",EIC,1N4001,Tayda,A-162,1N4001 DIODE 1A 50V,1N4001
5,2,"FB1, FB2",Fair-Rite,2743001111,Mouser,623-2743001111,Ferrite Beads 43 BEAD ON LEAD Z=68 OHM @ 100MHz,68R
19,2,"U1, U2",Texas Instuments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB,"High Speed Operational Amplifiers Dual High Speed,Low Pwr Amp",LM6172
18,3,"RV1, RV2, RV3",Bourns Inc.,3006P-1-102LF,Digikey,3006P-102LF-ND,TRIMMER 1K OHM 0.75W PC PIN SIDE,1K
7,1,J1,Wurth Elektronik,61201021621,Mouser,710-61201021621,Headers & Wire Housings WR-BHD 2.54mm Box 10Pin Male Straight,Europower
8,3,J2-4,Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",
9,3,J5-7,Molex,731375003,Digikey,WM5514-ND,CONN BNC RCPT R/A 50 OHM PCB,
